iter	Passed	Remaining
0	140	140703
1	146	73150
2	150	49892
3	152	37950
4	154	30674
5	162	26909
6	165	23431
7	168	20945
8	171	18887
9	174	17279
10	178	16059
11	181	14937
12	183	13921
13	185	13049
14	189	12451
15	193	11916
16	196	11389
17	201	10976
18	208	10760
19	210	10329
20	215	10038
21	219	9774
22	223	9491
23	225	9177
24	230	9004
25	232	8716
26	237	8558
27	240	8344
28	242	8107
29	243	7874
30	244	7654
31	247	7475
32	254	7445
33	255	7268
34	257	7097
35	258	6933
36	261	6811
37	266	6742
38	269	6648
39	271	6509
40	272	6376
41	273	6247
42	277	6169
43	283	6162
44	286	6083
45	288	5976
46	290	5886
47	291	5784
48	293	5691
49	299	5686
50	300	5598
51	303	5527
52	304	5445
53	307	5378
54	313	5392
55	315	5318
56	317	5253
57	318	5177
58	320	5104
59	322	5047
60	328	5061
61	331	5016
62	332	4952
63	334	4890
64	336	4839
65	337	4783
66	343	4786
67	345	4736
68	346	4680
69	348	4626
70	349	4572
71	351	4527
72	352	4478
73	357	4470
74	359	4431
75	360	4385
76	361	4338
77	363	4295
78	364	4250
79	365	4206
80	366	4163
81	369	4133
82	370	4092
83	372	4063
84	373	4024
85	375	3985
86	376	3949
87	377	3916
88	379	3883
89	380	3849
90	381	3815
91	387	3825
92	389	3799
93	393	3789
94	395	3764
95	396	3733
96	400	3729
97	402	3700
98	403	3668
99	404	3641
100	405	3613
101	407	3584
102	408	3557
103	409	3528
104	410	3501
105	413	3485
106	415	3467
107	416	3443
108	418	3418
109	419	3394
110	420	3370
111	421	3345
112	423	3321
113	424	3299
114	425	3277
115	429	3274
116	430	3250
117	432	3229
118	433	3208
119	434	3186
120	435	3166
121	436	3143
122	438	3123
123	439	3102
124	440	3084
125	443	3076
126	444	3055
127	445	3038
128	447	3020
129	448	3002
130	449	2983
131	450	2965
132	452	2948
133	453	2932
134	455	2915
135	456	2898
136	459	2896
137	461	2881
138	462	2867
139	464	2851
140	465	2835
141	466	2817
142	467	2802
143	468	2786
144	470	2771
145	472	2761
146	474	2753
147	475	2739
148	477	2725
149	478	2712
150	479	2698
151	481	2688
152	483	2674
153	484	2661
154	485	2648
155	488	2644
156	490	2636
157	492	2623
158	493	2610
159	494	2597
160	495	2583
161	496	2570
162	498	2558
163	499	2545
164	500	2533
165	504	2535
166	506	2527
167	508	2517
168	510	2509
169	512	2500
170	513	2490
171	516	2484
172	519	2481
173	520	2471
174	522	2462
175	523	2451
176	525	2442
177	526	2432
178	528	2423
179	532	2427
180	534	2417
181	536	2409
182	539	2406
183	540	2396
184	541	2386
185	542	2375
186	545	2369
187	549	2372
188	551	2367
189	553	2358
190	554	2348
191	555	2339
192	557	2330
193	560	2327
194	564	2329
195	566	2323
196	568	2315
197	569	2306
198	571	2299
199	572	2291
200	576	2291
201	580	2291
202	581	2284
203	583	2276
204	585	2270
205	586	2262
206	589	2256
207	594	2264
208	597	2261
209	599	2255
210	601	2247
211	602	2238
212	608	2249
213	611	2247
214	614	2242
215	615	2234
216	616	2226
217	618	2218
218	623	2222
219	625	2219
220	628	2214
221	629	2207
222	631	2199
223	632	2190
224	634	2185
225	641	2198
226	643	2191
227	645	2184
228	646	2177
229	648	2170
230	649	2163
231	654	2167
232	658	2167
233	660	2161
234	661	2154
235	663	2147
236	664	2140
237	666	2133
238	672	2141
239	674	2135
240	676	2129
241	677	2122
242	678	2115
243	680	2108
244	687	2119
245	689	2113
246	691	2106
247	692	2099
248	693	2092
249	695	2085
250	700	2089
251	702	2084
252	704	2079
253	705	2072
254	707	2065
255	708	2058
256	709	2051
257	710	2044
258	713	2040
259	714	2033
260	715	2026
261	717	2019
262	718	2014
263	719	2007
264	721	2000
265	722	1993
266	723	1986
267	724	1979
268	726	1974
269	727	1967
270	729	1961
271	730	1954
272	731	1948
273	733	1942
274	734	1935
275	735	1929
276	736	1922
277	737	1916
278	739	1909
279	740	1903
280	741	1898
281	743	1891
282	744	1886
283	745	1880
284	747	1874
285	748	1868
286	749	1862
287	750	1856
288	752	1850
289	753	1845
290	755	1839
291	757	1836
292	759	1832
293	760	1826
294	761	1820
